area_coverage_2016,area_coverage_2014,area_sq_km,pcd_sector,area_coverage_2015,name,site_count,site_density
0.0,0.0,113.350646,AB546,0.0,Aberdeenshire,2,0.017644363491320553
0.0,0.0,349.237819,AB316,0.0,Aberdeenshire,7,0.020043648251050383
0.0,0.0,1006.397013,AB355,0.0,Aberdeenshire,28,0.027822022162539945
0.0,0.0,283.171155,AB368,0.0,Aberdeenshire,17,0.060034363316419
100.0,0.0,0.5645,SA14,100.0,Abertawe-Swansea,2,3.5429583702391496
100.0,0.0,0.5836,SA13,100.0,Abertawe-Swansea,4,6.854009595613434
100.0,0.0,2.3538,SA20,100.0,Abertawe-Swansea,6,2.549069589599796
100.0,0.0,2.8198,SA16,100.0,Abertawe-Swansea,8,2.8370806440173064
100.0,0.0,2.1313,SA58,100.0,Abertawe-Swansea,3,1.4075916107539999
100.0,0.0,2.2778,SA59,29.72166125,Abertawe-Swansea,1,0.4390201071209061
100.0,0.0,1.0157,SA11,0.0,Abertawe-Swansea,3,2.9536280397755243
100.0,0.0,1.6946,SA12,0.0,Abertawe-Swansea,6,3.5406585624926232
100.0,0.0,2.3348,SA67,0.0,Abertawe-Swansea,4,1.7132088401576153
100.0,0.0,0.149,SA15,0.0,Abertawe-Swansea,0,0
100.0,0.0,2.9426,SA55,0.0,Abertawe-Swansea,0,0
100.0,0.0,2.7504,SA29,0.0,Abertawe-Swansea,8,2.908667830133799
100.0,0.0,1.845,SA68,0.0,Abertawe-Swansea,5,2.710027100271003
100.0,0.0,3.814,SA46,0.0,Abertawe-Swansea,0,0
100.0,0.0,4.2906,SA34,0.0,Abertawe-Swansea,5,1.1653381811401669
100.0,0.0,3.776,SA28,0.0,Abertawe-Swansea,9,2.3834745762711864
100.0,0.0,8.1475,SA44,0.0,Abertawe-Swansea,2,0.24547407180116598
100.0,0.0,7.1228,SA35,0.0,Abertawe-Swansea,5,0.701971134946931
100.0,0.0,10.9993,SA27,0.0,Abertawe-Swansea,2,0.18182975280245106
63.41064573,0.0,12.6586,SA79,0.0,Abertawe-Swansea,3,0.2369930324048473
0.0,0.0,8.2807,SA17,0.0,Abertawe-Swansea,4,0.4830509497989301
0.0,0.0,10.2681,SA18,0.0,Abertawe-Swansea,8,0.7791120070899192
0.0,0.0,7.9334,SA54,0.0,Abertawe-Swansea,6,0.7562961655784405
0.0,0.0,6.251,SA33,0.0,Abertawe-Swansea,1,0.15997440409534475
0.0,0.0,3.5212,SA70,0.0,Abertawe-Swansea,2,0.5679881858457344
0.0,0.0,33.6134,SA66,0.0,Abertawe-Swansea,3,0.08925012048766266
0.0,0.0,30.1951,SA43,0.0,Abertawe-Swansea,6,0.19870773734811278
0.0,0.0,19.7741,SA48,0.0,Abertawe-Swansea,3,0.15171360517039967
0.0,0.0,22.1454,SA57,0.0,Abertawe-Swansea,5,0.22578052326894074
0.0,0.0,21.9796,SA49,0.0,Abertawe-Swansea,5,0.22748366667273287
0.0,0.0,30.3521,SA32,0.0,Abertawe-Swansea,4,0.13178659796192027
0.0,0.0,95.8571,SA31,0.0,Abertawe-Swansea,8,0.08345756339384354
100.0,0.0,2.014932,DD111,100.0,Angus,6,2.977767984229741
84.28603387,0.0,26.605912,DD77,1.48488802,Angus,6,0.2255137880633447
0.0,0.0,56.030181,DD53,0.0,Angus,10,0.17847523997825387
0.0,0.0,24.290972,DD76,0.0,Angus,6,0.24700534832447216
0.0,0.0,21.211946,DD113,0.0,Angus,5,0.23571623273036804
0.0,0.0,48.344307,DD40,0.0,Angus,9,0.18616462947746878
0.0,0.0,40.080743,DD115,0.0,Angus,4,0.09979854914366233
0.0,0.0,64.727393,DD114,0.0,Angus,6,0.09269645696992615
0.0,0.0,70.51569,DD25,0.0,Angus,6,0.08508744649595004
0.0,0.0,92.101273,DD109,0.0,Angus,10,0.10857613227560925
0.0,0.0,62.14771,DD112,0.0,Angus,8,0.12872557975185248
0.0,0.0,86.740085,DD100,0.0,Angus,12,0.13834434218043482
0.0,0.0,118.738907,DD81,0.0,Angus,9,0.0757965541993746
0.0,0.0,93.86819,DD96,0.0,Angus,8,0.0852258896224589
0.0,0.0,128.553384,DD82,0.0,Angus,10,0.0777886951618481
0.0,0.0,122.424464,DD83,0.0,Angus,10,0.08168302047865204
0.0,0.0,56.552796,PH128,0.0,Angus,1,0.01768259167946356
0.0,0.0,134.352104,DD85,0.0,Angus,1,0.007443128691159165
0.0,0.0,290.00604,AB301,0.0,Angus,12,0.04137844853162369
0.0,0.0,344.237423,DD84,0.0,Angus,7,0.02033480247149073
0.0,0.0,485.575828,DD97,0.0,Angus,7,0.01441587409495186
