"","Postcode.Sector","name","oslaua","Population","Area.Sq.Km","People.per.Sq.Km","oscty","gor","code","all.operators.2G","all.operators.3G","all.operators.4G","pop.d.rank","LA.area","LA.2G.coverage","LA.3G.coverage","LA.4G.coverage","area_allocated.2G","area_coverage.2G","area_allocated.3G","area_coverage.3G","area_allocated.4G","area_coverage.4G","sitefinder.count","geotype","site.density","ex.pcd","distance"
"135","B120","Birmingham","E08000025",4129,1.037,3981.67791706847,"E99999999","E12000005","00CN",99.36,99.92,90.15,71,258.0889,256.43713104,257.88242888,232.66714335,1.03699999999999,99.9999999999992,1.03699999999999,99.9999999999992,1.03699999999999,99.9999999999992,9,"Suburban 1",8.67888138862102,"B94HX",0.952
"136","B128","Birmingham","E08000025",8748,1.019,8584.88714425908,"E99999999","E12000005","00CN",99.36,99.92,90.15,14,258.0889,256.43713104,257.88242888,232.66714335,1.019,100,1.019,100,1.019,100,4,"Urban",3.92541707556428,"B138JR",1.48
"137","B129","Birmingham","E08000025",7878,0.9728,8098.27302631579,"E99999999","E12000005","00CN",99.36,99.92,90.15,15,258.0889,256.43713104,257.88242888,232.66714335,0.972799999999999,99.9999999999999,0.972799999999999,99.9999999999999,0.972799999999999,99.9999999999999,1,"Urban",1.02796052631579,"B57NY",0.726
"138","B13","Birmingham","E08000025",993,0.1954,5081.88331627431,"E99999999","E12000005","00CN",99.36,99.92,90.15,48,258.0889,256.43713104,257.88242888,232.66714335,0.195400000000006,100.000000000003,0.195400000000006,100.000000000003,0.195400000000006,100.000000000003,1,"Suburban 1",5.11770726714432,"B31BA",0.606
"139","B130","Birmingham","E08000025",13458,3.5253,3817.54744277083,"E99999999","E12000005","00CN",99.36,99.92,90.15,77,258.0889,256.43713104,257.88242888,232.66714335,3.52530000000002,100,3.52530000000002,100,3.52530000000002,100,9,"Suburban 1",2.55297421496043,"B130RY",1.252
"140","B138","Birmingham","E08000025",7678,2.8634,2681.42767339526,"E99999999","E12000005","00CN",99.36,99.92,90.15,96,258.0889,256.43713104,257.88242888,232.66714335,2.86339999999998,99.9999999999995,2.86339999999998,99.9999999999995,2.86339999999998,99.9999999999995,4,"Suburban 2",1.39694069986729,"B138JR",0.54
"141","B139","Birmingham","E08000025",15681,2.7645,5672.27346717309,"E99999999","E12000005","00CN",99.36,99.92,90.15,33,258.0889,256.43713104,257.88242888,232.66714335,2.7645,99.9999999999999,2.7645,99.9999999999999,2.7645,99.9999999999999,5,"Suburban 1",1.80864532465184,"B138JR",1.197
"142","B144","Solihull","E08000029",12710,2.7902,4555.22901584116,"E99999999","E12000005","00CT",98.96,99.87,41.63,5,217.0745,214.8169252,216.79230315,90.36811435,2.7902,100,2.7902,100,2.7902,100,4,"Suburban 1",1.43358899003656,"B145NJ",1.242
"143","B145","Worcestershire","E07000234",10926,2.3465,4656.29661197528,"E10000034","E12000005","47",75.8,79.64,3.12,3,1909.3065,1447.254327,1520.5716966,59.5703628,2.3465,100,2.3465,100,2.3465,100,6,"Suburban 1",2.55699978691668,"B145NJ",0.23
"144","B146","Birmingham","E08000025",12143,2.6443,4592.14158756571,"E99999999","E12000005","00CN",99.36,99.92,90.15,57,258.0889,256.43713104,257.88242888,232.66714335,2.6443,100,2.6443,100,2.6443,100,2,"Suburban 1",0.756343833906894,"B130RY",1.073
"145","B147","Birmingham","E08000025",7634,1.3146,5807.08960900654,"E99999999","E12000005","00CN",99.36,99.92,90.15,29,258.0889,256.43713104,257.88242888,232.66714335,1.3146,100,1.3146,100,1.3146,100,4,"Suburban 1",3.04275064658451,"B130RY",0.629
"146","B151","Birmingham","E08000025",2582,0.55,4694.54545454545,"E99999999","E12000005","00CN",99.36,99.92,90.15,55,258.0889,256.43713104,257.88242888,232.66714335,0.549999999999997,99.9999999999995,0.549999999999997,99.9999999999995,0.549999999999997,99.9999999999995,7,"Suburban 1",12.7272727272727,"B168SZ",0.861
